iso_code,continent,location,date,population
OWID_AFR,,Africa,20200708,1340598113
OWID_AFR,,Africa,20200709,1340598113
OWID_AFR,,Africa,20200710,1340598113
OWID_AFR,,Africa,20200711,1340598113
OWID_AFR,,Africa,20200712,1340598113
OWID_AFR,,Africa,20200713,1340598113
OWID_AFR,,Africa,20200714,1340598113
OWID_AFR,,Africa,20200715,1340598113
OWID_AFR,,Africa,20200716,1340598113
OWID_AFR,,Africa,20200717,1340598113
OWID_AFR,,Africa,20200718,1340598113
OWID_AFR,,Africa,20200719,1340598113
OWID_AFR,,Africa,20200720,1340598113
OWID_AFR,,Africa,20200721,1340598113
OWID_AFR,,Africa,20200722,1340598113
OWID_AFR,,Africa,20200723,1340598113
OWID_AFR,,Africa,20200724,1340598113
OWID_AFR,,Africa,20200725,1340598113
OWID_AFR,,Africa,20200726,1340598113
OWID_AFR,,Africa,20200727,1340598113
OWID_AFR,,Africa,20200728,1340598113
OWID_AFR,,Africa,20200729,1340598113
OWID_AFR,,Africa,20200730,1340598113
OWID_AFR,,Africa,20200731,1340598113
OWID_AFR,,Africa,20200801,1340598113
OWID_AFR,,Africa,20200802,1340598113
OWID_AFR,,Africa,20200803,1340598113
OWID_AFR,,Africa,20200804,1340598113
OWID_AFR,,Africa,20200805,1340598113
OWID_AFR,,Africa,20200806,1340598113
OWID_AFR,,Africa,20200807,1340598113
OWID_AFR,,Africa,20200808,1340598113
OWID_AFR,,Africa,20200809,1340598113
